domain,text,label
gogoanime.com,emails: abuse@key-systems.net; name: On behalf of gogoanime.com OWNER; name_servers: ED.NS.CLOUDFLARE.COM; org: c/o whoisproxy.com; address: 604 Cameron Street; city: Alexandria; country: US; creation_date: 2009-01-22T00:00:00; creation_date : 2009-01-22T23:02:43; dnssec: unsigned; domain_name: GOGOANIME.COM; domain_name : gogoanime.com; emails : 4058112771ddf07fb9f0cf29e88f3e6cb01d8de2d79a62a6b35e5a0ab14221f0@gogoanime.com.whoisproxy.org; expiration_date: 2020-01-22T00:00:00; expiration_date : 2020-01-22T23:02:43; name_servers : UMA.NS.CLOUDFLARE.COM; name_servers : ed.ns.cloudflare.com; name_servers : uma.ns.cloudflare.com; referral_url: http://www.key-systems.net; registrar: Key-Systems GmbH; state: VA; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; updated_date: 2014-07-31T00:00:00; updated_date : 2014-07-31T08:45:04; whois_server: whois.rrpproxy.net; zipcode: 22314,safe
hinode.com.br,admin_c: SGR18; billing_c: TIGHI3; changed: 20170525; changed : 20170526; country: BR; created: 19980210 #85631; created : 20011122; created : 20170525; domain: hinode.com.br; email: sandro@grupohinode.com; email : ti@grupohinode.com; expires: 20190210; nic_hdl_br: SGR18; nic_hdl_br : TIGHI3; nserver: ns1.datacenter1.com.br; nserver : ns3.datacenter1.com.br; nslastaa: 20170624; nsstat: 20170624 AA; owner: Dinamic Logistica e Distribui��o Ltda. - EPP; owner_c: SGR18; ownerid: 06.148.855/0001-40; person: Sandro Garcia Rodrigues; person : TI Grupo Hinode; status: published; tech_c: TIGHI3,safe
dealsea.com,"emails: abuse@support.gandi.net; name: PricePP LLC; name_servers: NS-1405.AWSDNS-47.ORG; org: Crosslink Consulting, LLC; address: 40 E Main St Suite 630; city: Newark; country: US; creation_date: 2001-06-27T00:00:00; creation_date : 2001-06-27T18:54:05; dnssec: Unsigned; domain_name: DEALSEA.COM; domain_name : dealsea.com; emails : crosslink@gmail.com; emails : 68c97b2b5584a6f555d4b30df6fb96b3-109242@contact.gandi.net; expiration_date: 2026-06-27T00:00:00; expiration_date : 2026-06-27T22:54:05; name_servers : NS-1670.AWSDNS-16.CO.UK; name_servers : NS-49.AWSDNS-06.COM; name_servers : NS-932.AWSDNS-52.NET; referral_url: http://www.gandi.net; registrar: GANDI SAS; state: Delaware; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited; updated_date: 2016-08-18T00:00:00; updated_date : 2016-08-18T22:59:51; whois_server: whois.gandi.net; zipcode: 19711",safe
materialup.com,"emails: MATTHIEU.AUSSAGUEL@GMAIL.COM; name: MATTHIEU AUSSAGUEL; name_servers: AMY.NS.CLOUDFLARE.COM; org: UPMAZED; address: 213 ARGYLE ST; city: FITZROY; country: AU; creation_date: 2014-11-19T00:00:00; creation_date : 2014-11-19T21:05:00; dnssec: unSigned; domain_name: MATERIALUP.COM; emails : abuse@enom.com; expiration_date: 2017-11-19T00:00:00; expiration_date : 2017-11-19T21:05:53; name_servers : KIRK.NS.CLOUDFLARE.COM; referral_url: http://www.enom.com; registrar: ENOM, INC.; state: VIC; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited; updated_date: 2017-03-07T00:00:00; updated_date : 2016-10-21T00:17:05; whois_server: whois.enom.com; zipcode: 3065",safe
ynet.com,emails: DomainAbuse@service.aliyun.com; name: Xu Jing Ke; name_servers: NS3.DNSV4.COM; org: Bei Jing Qing Nian Bao Wang Ji Chuan Bo Ji Shu You Xian Gong Si; address: Bei Jing Shi Chao Yang Qu Bai Jia Zhuang Dong Li 23Hao; city: bei jing shi; country: CN; creation_date: 1998-09-22T04:00:00; dnssec: unsigned; domain_name: YNET.COM; domain_name : ynet.com; emails : tech@ynet.com; emails : fengrenping@ynet.com; expiration_date: 2022-09-21T04:00:00; name_servers : NS4.DNSV4.COM; name_servers : ns3.dnsv4.com; name_servers : ns4.dnsv4.com; registrar: HICHINA ZHICHENG TECHNOLOGY LTD.; state: bei jing; status: ok https://icann.org/epp#ok; status : ok http://www.icann.org/epp#OK; updated_date: 2017-04-12T19:45:19; updated_date : 2017-04-12T05:46:27; whois_server: grs-whois.hichina.com; zipcode: 100026,safe
gq-magazine.co.uk,name_servers: ns-1326.awsdns-37.org; creation_date: before Aug-1996; domain_name: gq-magazine.co.uk; expiration_date: 2019-09-07T00:00:00; registrar: Corporation Service Company (UK) Limited [Tag = CSC-CORP-DOMAINS]; registrar_url: http://www.cscprotectsbrands.com; status: Registered until expiry date.; updated_date: 2017-09-03T00:00:00,safe
icd10data.com,"emails: abuse@godaddy.com; name_servers: NS-1468.AWSDNS-55.ORG; org: AAPC; country: US; creation_date: 2006-02-17T10:57:34; dnssec: unsigned; domain_name: ICD10DATA.COM; expiration_date: 2021-02-17T10:57:34; name_servers : NS-1890.AWSDNS-44.CO.UK; name_servers : NS-345.AWSDNS-43.COM; name_servers : NS-630.AWSDNS-14.NET; registrar: GoDaddy.com, LLC; state: Utah; status: ok https://icann.org/epp#ok; status : ok http://www.icann.org/epp#ok; updated_date: 2019-02-06T18:35:33; whois_server: whois.godaddy.com",safe
pbteen.com,"emails: abusecomplaints@markmonitor.com; name: Domain Administrator; name_servers: EUR1.AKAM.NET; org: Williams-Sonoma, Inc.; address: 3250 Van Ness Ave.,; city: San Francisco; country: US; creation_date: 2002-11-14T00:00:00; creation_date : 2002-11-14T13:30:52; dnssec: unsigned; domain_name: PBTEEN.COM; domain_name : pbteen.com; emails : admincontact@wsgc.com; emails : techcontact@wsgc.com; expiration_date: 2018-11-14T00:00:00; name_servers : NS1-125.AKAM.NET; name_servers : NS1-212.AKAM.NET; name_servers : USC1.AKAM.NET; name_servers : USE3.AKAM.NET; name_servers : USE4.AKAM.NET; name_servers : USW1.AKAM.NET; name_servers : USW6.AKAM.NET; name_servers : use3.akam.net; name_servers : ns1-125.akam.net; name_servers : usw1.akam.net; name_servers : use4.akam.net; name_servers : usw6.akam.net; name_servers : eur1.akam.net; name_servers : ns1-212.akam.net; name_servers : usc1.akam.net; referral_url: http://www.markmonitor.com; registrar: MarkMonitor, Inc.; state: CA; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; status : serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited; status : serverTransferProhibited https://icann.org/epp#serverTransferProhibited; status : serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited; status : clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited); status : clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited); status : clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited); status : serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited); status : serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited); status : serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited); updated_date: 2016-10-13T00:00:00; updated_date : 2016-10-13T02:07:48; whois_server: whois.markmonitor.com; zipcode: 94109",safe
bitcointalk.org,"emails: 43ee5d7a7b784f97a7bdaf41e44ffb75.protect@whoisguard.com; name: WhoisGuard Protected; name_servers: NS-1070.AWSDNS-05.ORG; org: WhoisGuard, Inc.; address: P.O. Box 0823-03411; city: Panama; country: PA; creation_date: 2011-06-24T05:19:00; dnssec: unsigned; domain_name: BITCOINTALK.ORG; expiration_date: 2023-06-24T05:19:00; name_servers : NS-138.AWSDNS-17.COM; name_servers : NS-715.AWSDNS-25.NET; name_servers : NS-1846.AWSDNS-38.CO.UK; registrar: eNom, Inc.; state: Panama; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; updated_date: 2017-05-05T18:05:30; zipcode: 00000",safe
morpakampus.com,"emails: abuse@wildwestdomains.com; name: Registration Private; name_servers: SARAH.NS.CLOUDFLARE.COM; org: Domains By Proxy, LLC; address: DomainsByProxy.com; address : 2155 E Warner Rd; city: Tempe; country: US; creation_date: 2007-03-29T10:17:56; creation_date : 2007-03-29T05:17:56; dnssec: unsigned; domain_name: MORPAKAMPUS.COM; expiration_date: 2023-03-29T10:17:56; expiration_date : 2023-03-29T05:17:56; name_servers : VENKAT.NS.CLOUDFLARE.COM; registrar: Wild West Domains, LLC; state: Arizona; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientRenewProhibited https://icann.org/epp#clientRenewProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; updated_date: 2022-09-04T06:53:21; updated_date : 2022-01-25T03:48:47; whois_server: whois.wildwestdomains.com; zipcode: 85284",safe
aetna.com,"emails: abusecomplaints@markmonitor.com; name: Domain Administrator; name_servers: A1-155.AKAM.NET; org: Aetna Life Insurance Company; address: 151 Farmington Ave,; city: Hartford; country: US; creation_date: 1993-11-02T00:00:00; creation_date : 1993-11-01T21:00:00; dnssec: signedDelegation; domain_name: AETNA.COM; domain_name : aetna.com; emails : domains@aetna.com; expiration_date: 2017-11-01T00:00:00; expiration_date : 2017-10-31T21:00:00; name_servers : A12-65.AKAM.NET; name_servers : A13-65.AKAM.NET; name_servers : A16-67.AKAM.NET; name_servers : A8-67.AKAM.NET; name_servers : A9-67.AKAM.NET; name_servers : NS1.AETNA.COM; name_servers : NS2.AETNA.COM; name_servers : a8-67.akam.net; name_servers : ns1.aetna.com; name_servers : a16-67.akam.net; name_servers : a1-155.akam.net; name_servers : a13-65.akam.net; name_servers : a9-67.akam.net; name_servers : ns2.aetna.com; name_servers : a12-65.akam.net; referral_url: http://www.markmonitor.com; registrar: MarkMonitor, Inc.; state: CT; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; status : clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited); status : clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited); status : clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited); updated_date: 2016-10-08T00:00:00; updated_date : 2016-10-08T05:42:14; whois_server: whois.markmonitor.com; zipcode: 06156",safe
golem.de,name: SysEleven Hostmaster; org: SysEleven Hostmaster; address: Ohlauer Strasse 43; city: Berlin; country_code: DE; fax: +49-30-61675550; phone: +49-30-23320120; zipcode: 10999,safe
seriesubthai.co,emails: abuse@dynadot.com; name: REDACTED FOR PRIVACY; name_servers: ns1.abovedomains.com; org: Super Privacy Service LTD c/o Dynadot; address: REDACTED FOR PRIVACY; city: REDACTED FOR PRIVACY; country: US; creation_date: 2017-08-18T17:50:31; dnssec: unsigned; domain_name: seriesubthai.co; expiration_date: 2025-08-17T23:59:59; name_servers : ns2.abovedomains.com; registrar: Dynadot Inc; state: California; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; updated_date: 2023-10-02T13:32:29; whois_server: whois.dynadot.com; zipcode: REDACTED FOR PRIVACY,safe
ag.ru,"name_servers: ns1-ng.kanobu.ru.; org: Obshchestvo s ogranichennoj otvetstvennostyu ""Bu-Media""; creation_date: 1998-06-16T12:43:48; domain_name: AG.RU; expiration_date: 2019-06-30T21:00:00; name_servers : ns2-ng.kanobu.ru.; registrar: RU-CENTER-RU; status: REGISTERED, DELEGATED, VERIFIED",safe
elitegol.com,"emails: ELITEGOL@GRUPOET.COM; name: BULKA LLC; name_servers: MARK.NS.CLOUDFLARE.COM; org: BULKA LLC; address: 140-A TRAKTOROBUDIVNYKIV ?V?NU?, FL.145; address : C/ CISNEROS, 13; city: KHARKIV; country: UA; creation_date: 2012-08-14T00:00:00; creation_date : 2012-08-14T14:42:01; dnssec: unSigned; domain_name: ELITEGOL.COM; emails : ADMIN@ELITEGOL.COM; emails : abuse@enom.com; expiration_date: 2017-08-14T00:00:00; expiration_date : 2017-08-14T14:42:00; name_servers : SARA.NS.CLOUDFLARE.COM; referral_url: http://www.enom.com; registrar: ENOM, INC.; state: UK; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited; updated_date: 2017-03-02T00:00:00; updated_date : 2016-11-22T03:40:53; whois_server: whois.enom.com; zipcode: 61001",safe
ctctcdn.com,"emails: abusecomplaints@markmonitor.com; name: Domain Administrator; name_servers: NS-1151.AWSDNS-15.ORG; org: Constant Contact, Inc.; address: 1601 Trapelo Road, Suite 329; city: Waltham; country: US; creation_date: 2012-09-21T00:00:00; creation_date : 2012-09-21T13:45:35; dnssec: unsigned; domain_name: CTCTCDN.COM; domain_name : ctctcdn.com; emails : it@constantcontact.com; expiration_date: 2018-09-21T00:00:00; name_servers : NS-1903.AWSDNS-45.CO.UK; name_servers : NS-302.AWSDNS-37.COM; name_servers : NS-527.AWSDNS-01.NET; name_servers : NS1.P15.DYNECT.NET; name_servers : NS2.P15.DYNECT.NET; name_servers : NS3.P15.DYNECT.NET; name_servers : NS4.P15.DYNECT.NET; name_servers : ns-527.awsdns-01.net; name_servers : ns-302.awsdns-37.com; name_servers : ns3.p15.dynect.net; name_servers : ns-1151.awsdns-15.org; name_servers : ns2.p15.dynect.net; name_servers : ns-1903.awsdns-45.co.uk; name_servers : ns1.p15.dynect.net; name_servers : ns4.p15.dynect.net; referral_url: http://www.markmonitor.com; registrar: MarkMonitor, Inc.; state: MA; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; status : clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited); status : clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited); status : clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited); updated_date: 2016-11-03T00:00:00; updated_date : 2017-05-17T04:00:27; whois_server: whois.markmonitor.com; zipcode: 02451",safe
shareasale.com,"name: Shareasale .com; name_servers: JONAH.NS.CLOUDFLARE.COM; org: Shareasale.com; creation_date: 2000-01-25T00:00:00; dnssec: unsigned; domain_name: SHAREASALE.COM; domain_name : shareasale.com; expiration_date: 2018-01-25T00:00:00; name_servers : RAFE.NS.CLOUDFLARE.COM; referral_url: http://www.godaddy.com; registrar: GODADDY.COM, LLC; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientRenewProhibited https://icann.org/epp#clientRenewProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; updated_date: 2017-05-17T00:00:00; whois_server: whois.godaddy.com",safe
freepornx.org,"emails: abuse@danesconames.com; name: REDACTED FOR PRIVACY; name_servers: dolly.ns.cloudflare.com; org: DANESCO TRADING LTD.; address: REDACTED FOR PRIVACY; address : 157, Archbishop Makarios Ave, office 1; city: REDACTED FOR PRIVACY; city : Limassol; country: CY; country : Cyprus; creation_date: 2015-01-29T12:01:16; creation_date : 2015-01-29T00:00:00; dnssec: unsigned; domain_name: freepornx.org; domain_name : FREEPORNX.ORG; emails : freepornx.org@whoisprotectservice.net; emails : abuse@ahnames.com; expiration_date: 2023-01-29T12:01:16; expiration_date : 2023-01-29T00:00:00; name : DANESCO TRADING LTD; name_servers : west.ns.cloudflare.com; name_servers : WEST.NS.CLOUDFLARE.COM; name_servers : DOLLY.NS.CLOUDFLARE.COM; registrar: DANESCO TRADING LTD; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; status : clientUpdateProhibited; status : clientDeleteProhibited; status : clientTransferProhibited; updated_date: 2021-12-29T12:06:07; updated_date : 2021-12-29T12:07:20.521000; whois_server: whois.danesconames.com; zipcode: REDACTED FOR PRIVACY; zipcode : 3026",safe
coasttocoastam.com,"emails: abusecomplaints@markmonitor.com; name: Domain Administrator; name_servers: DNS1.CLEARCHANNEL.COM; org: Premiere Radio Networks, Inc.; address: 15260 Ventura Blvd; city: Sherman Oaks; country: US; creation_date: 1999-04-21T00:00:00; creation_date : 1999-04-20T21:00:00; dnssec: unsigned; domain_name: COASTTOCOASTAM.COM; domain_name : coasttocoastam.com; emails : hostmaster@premiereradio.net; expiration_date: 2018-04-21T00:00:00; expiration_date : 2018-04-20T21:00:00; name_servers : DNS2.CLEARCHANNEL.COM; name_servers : NS1.CLEARCHANNEL.COM; name_servers : NS2.CLEARCHANNEL.COM; name_servers : ns2.clearchannel.com; name_servers : ns1.clearchannel.com; name_servers : dns1.clearchannel.com; name_servers : dns2.clearchannel.com; referral_url: http://www.markmonitor.com; registrar: MarkMonitor, Inc.; state: CA; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; status : clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited); status : clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited); status : clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited); updated_date: 2017-03-20T00:00:00; updated_date : 2017-04-24T04:00:20; whois_server: whois.markmonitor.com; zipcode: 91403-5339",safe
